country,director,genre,imdb_rating,title,year
СССР,Григорий Никулин,исторический фильм,6.7,20-е декабря,1981
Украина,Мстислав Чернов,"документальный фильм
и
военный фильм",8.6,20 дней в Мариуполе,2023
США,Ричард Флейшер,"драма
стимпанк
приключенческий фильм",7.2,20 000 лье под водой,1954
США,Майкл Кёртис,"Криминальная мелодрама
Тюремная драма",6.8,20 000 лет в Синг-Синге,1932
США,Тамара Олсон,комедия,2.9,18-летняя девственница,2008
США,Стюарт Патон,фантастика,6.1,20 000 лье под водой,1916
Республика Корея,Ким Джи Хун,"боевик
драма
военный
история",6.9,Великолепный отпуск,2007
США,Питер Делуиз,"подростковая
фэнтезийная комедия",5.4,16 желаний,25 июня   2010
Россия,Андрес Пуустусмаа,"исторический
детектив
приключение",6.1,18-14,2007
Казахстан,Фархат Шарипов,драма,6.7,18 килогерц,2021
США,Джон Херцфелд,"Криминальная драма
боевик",6.1,15 минут славы,2001
США,Ричард Доннер,"криминальный фильм
драма
триллер",6.6,«16 кварталов»,2006
Великобритания,"Айан Форсайт
Джейн Поллард","документальный
музыкальный",7.4,20 000 дней на Земле,2014
Франция,"Дельфин Кулин
Мюриэль Кулин",драма,6.0,17 девушек,2011
Франция,Патрик Алессандрен,комедия,5.6,15 августа,2001
Россия,Андрей Зайцев,мелодрама,3.1,14+: Продолжение,2023
"Гонконг
Китай",Дэниел Ли,"боевик
триллер",6.3,14 клинков,2010
"Гонконг
Китайская Республика",Джозеф Го,"боевик
драма",6.2,18 бронзовых бойцов,1975
Франция,Рене Клер,комедия,7.0,14 июля,1933
Россия,,документальный,,13 друзей хунты,2014
Гонконг,"Чэн Ган
Дун Шаоюн","приключенческий фильм
драма
военный фильм",6.6,14 амазонок,1972
США,Мэл Хаус,ужасы,2.3,Колдовство 13: Кровь избранных,2008
Франция,"Патрик Алессандрен
(
фр.
Patrick Alessandrin
)",боевик,6.5,13-й район: Ультиматум,2009
"Франция
Канада",Камиль Деламарр,боевик,5.6,13-й район: Кирпичные особняки,2014
Франция,Пьер Морель,"антиутопия
боевик",7.1,13-й район,2004
Чехословакия,Мартин Фрич,"криминальный фильм
драма
экранизация",6.8,13-й участок,1946
США,Майкл Бэй,"военный
драма
триллер",7.3,13 часов: Тайные солдаты Бенгази,2016
Великобритания,"Джонти Эктон
Адам Мэйсон",Ужасы,3.1,13-й знак,2000
Франция,"Клод Лелуш
Жиль Ги
Франсуа Рейшенбах","документальный фильм
спортивный фильм",6.8,13 дней во Франции,1968
США,Уильям Касл,фильм ужасов,6.0,13 призраков,1960
Япония,Такаси Миикэ,боевик,7.5,13 убийц,2010
СССР,Сурен Бабаян,фантастический фильм,5.7,Тринадцатый апостол,1988
,Хакобо Мартинес,фильм ужасов,4.4,13 изгнаний дьявола,2022
Нацистская Германия,Эмерих Йозеф Войтек,Комедия,6.9,13 стульев,1938
Румыния,Корнелиу Порумбою,комедия,7.3,12:08 к востоку от Бухареста,2006
США,Даниэль Штамм,"триллер
фильм ужасов",6.3,13 грехов,2014
СССР,Марк Захаров,"комедия
мюзикл",8.2,12 стульев,2 января 1977
СССР,Александр Белинский,телеспектакль,7.1,12 стульев,1966
США,Роэль Рейн,"боевик
триллер",5.3,12 раундов: Перезагрузка,2013
США,Уильям Фридкин,процессуальная драма,7.8,12 разгневанных мужчин,17 августа 1997
Россия,Денис Елеонский,"фильм-сказка
комедия
мелодрама
семейный фильм",5.1,12 месяцев. Новая сказка,19 февраля   2015
Россия,Андрей Зайцев,мелодрама,6.9,14+,2015
СССР,Леонид Гайдай,комедия,8.2,12 стульев,1971
СССР,Климентий Минц,"комедия
сказка",5.4,12 могил Ходжи Насреддина,1966
США,Стив Маккуин,"историческая
драма",8.1,12 лет рабства,2013
США,Ренни Харлин,"боевик
триллер
криминал",5.6,12 раундов,2009
"США
Канада",Грег Маркс,"Триллер
детективный фильм
криминал
чёрная комедия",7.1,11:14,2003
ЮАР,Джек Шолдер,"ужасы
триллер
драма",5.5,12 дней террора,2004
